Date,Security,EX,Close,PrevClose,Cha,Open,High,Low,Avg,Volume,Turnover,Trns,RSI,Return,DilutedPrice
10/12/2018,EXPON0000,,4.2,4.2,0,4.2,4.2,4.1,4.19,27001,113104,8,62.52,0,4.2
11/12/2018,EXPON0000,,4.2,4.2,0,4.1,4.2,4.1,4.1,360612,1478875,37,57.11,0,4.2
12/12/2018,EXPON0000,,4.2,4.2,0,4.1,4.2,4.1,4.1,83255,341571,18,66.74,0,4.2
13/12/2018,EXPON0000,,4,4.2,-0.2,4.2,4.3,4,4.09,952215,3898235,79,50,-4.76,4
14/12/2018,EXPON0000,,4.2,4,0.2,4,4.2,4,4.06,8315,33723,8,60.03,5,4.2
17/12/2018,EXPON0000,,4.1,4.2,-0.1,4.1,4.1,4.1,4.1,19298,79122,12,50,-2.38,4.1
18/12/2018,EXPON0000,,4.1,4.1,0,4.1,4.2,4,4.1,879555,3606083,40,55.61,0,4.1
19/12/2018,EXPON0000,,4.1,4.1,0,4,4.2,4,4.09,666510,2727072,27,55.61,0,4.1
20/12/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4.1,4.1,44340,181794,14,55.61,0,4.1
21/12/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4.1,4.1,610,2502,4,55.61,0,4.1
24/12/2018,EXPON0000,,4.1,4.1,0,4.1,4.2,4.1,4.11,12249,50327,14,50,0,4.1
26/12/2018,EXPON0000,,4.1,4.1,0,4.2,4.2,4,4.1,496848,2036078,19,57.11,0,4.1
27/12/2018,EXPON0000,,4.1,4.1,0,4.1,4.2,4.1,4.1,45213,185376,31,50,0,4.1
28/12/2018,EXPON0000,,4.1,4.1,0,4.1,4.1,4.1,4.1,22143,90786,4,39.89,0,4.1
31/12/2018,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4,281857,1127597,19,33.26,-2.43,4
02/01/2019,EXPON0000,,4.1,4,0.1,4.1,4.2,4.1,4.1,82615,338723,33,42.89,2.5,4.1
03/01/2019,EXPON0000,,4.1,4.1,0,4.1,4.2,4.1,4.1,302667,1241335,26,42.89,0,4.1
04/01/2019,EXPON0000,,4.1,4.1,0,4.1,4.2,4,4,53059,212450,10,60.11,0,4.1
07/01/2019,EXPON0000,,4,4.1,-0.1,4,4.1,4,4,732708,2931701,64,24.91,-2.43,4
08/01/2019,EXPON0000,,4.1,4,0.1,4.1,4.1,4,4.03,31108,125343,11,50,2.5,4.1
09/01/2019,EXPON0000,,4,4.1,-0.1,4,4.1,4,4.01,11030,44220,3,39.89,-2.43,4
10/01/2019,EXPON0000,,4.1,4,0.1,4.1,4.1,4,4.1,75006,307525,4,50,2.5,4.1
11/01/2019,EXPON0000,,4,4.1,-0.1,4,4.1,4,4.01,25825,103501,10,42.89,-2.43,4
14/01/2019,EXPON0000,,4.1,4,0.1,4.1,4.1,4,4.03,48001,193304,13,50,2.5,4.1
16/01/2019,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4,799717,3199203,39,44.39,-2.43,4
17/01/2019,EXPON0000,,4,4,0,4.1,4.1,4,4,52177,208836,15,44.39,0,4
18/01/2019,EXPON0000,,4,4,0,4.1,4.1,4,4,60930,243730,10,44.39,0,4
21/01/2019,EXPON0000,,4,4,0,4,4.1,3.9,4,161816,647566,39,44.39,0,4
22/01/2019,EXPON0000,,4,4,0,4,4.1,4,4.01,82370,330207,21,50,0,4
23/01/2019,EXPON0000,,4,4,0,4.1,4.1,4,4,83127,332511,14,42.89,0,4
24/01/2019,EXPON0000,,4,4,0,4.1,4.1,4,4.05,4023,16304,6,42.89,0,4
25/01/2019,EXPON0000,,4.1,4,0.1,4,4.1,4,4.04,120111,485455,14,50,2.5,4.1
28/01/2019,EXPON0000,,4.1,4.1,0,4.1,4.2,4.1,4.1,655442,2687325,26,57.11,0,4.1
29/01/2019,EXPON0000,,4.1,4.1,0,4.2,4.2,4.1,4.1,388947,1594694,21,50,0,4.1
30/01/2019,EXPON0000,,4.1,4.1,0,4.2,4.2,4.1,4.1,120025,492640,24,60.11,0,4.1
31/01/2019,EXPON0000,,4,4.1,-0.1,4.1,4.1,4,4.09,103573,423773,32,39.89,-2.43,4
01/02/2019,EXPON0000,,4.1,4,0.1,4.1,4.2,4.1,4.1,27248,111717,16,60.11,2.5,4.1
05/02/2019,EXPON0000,,4.2,4.1,0.1,4.1,4.2,4,4.11,6692,27508,8,60.11,2.43,4.2
06/02/2019,EXPON0000,,4,4.2,-0.2,4.1,4.2,4,4.08,31715,129332,17,50,-4.76,4
07/02/2019,EXPON0000,,4.1,4,0.1,4.1,4.1,4.1,4.1,31000,127100,4,57.11,2.5,4.1
08/02/2019,EXPON0000,,4.4,4.1,0.3,4.2,4.5,4.2,4.35,2698779,11752430,261,70.03,7.31,4.4
11/02/2019,EXPON0000,,4.3,4.4,-0.1,4.4,4.4,4.3,4.33,722791,3127028,67,63.69,-2.27,4.3
12/02/2019,EXPON0000,,4.3,4.3,0,4.3,4.4,4.2,4.3,1378296,5925985,25,63.69,0,4.3
13/02/2019,EXPON0000,,4.3,4.3,0,4.3,4.4,4.3,4.3,547464,2354114,34,63.69,0,4.3
14/02/2019,EXPON0000,,4.3,4.3,0,4.4,4.4,4.2,4.3,65182,280193,23,63.69,0,4.3
15/02/2019,EXPON0000,,4.2,4.3,-0.1,4.2,4.3,4.2,4.21,41889,176434,9,54.52,-2.32,4.2
18/02/2019,EXPON0000,,4.3,4.2,0.1,4.3,4.3,4.2,4.2,722377,3036431,21,58.34,2.38,4.3
20/02/2019,EXPON0000,,4.2,4.3,-0.1,4.3,4.3,4.2,4.2,46201,194054,8,53.88,-2.32,4.2
21/02/2019,EXPON0000,,4.1,4.2,-0.1,4.3,4.3,4.1,4.19,387529,1622958,30,50,-2.38,4.1
22/02/2019,EXPON0000,,4.2,4.1,0.1,4.2,4.2,4.1,4.11,18684,76883,7,57.16,2.43,4.2
25/02/2019,EXPON0000,,4.1,4.2,-0.1,4.2,4.2,4.1,4.1,61791,253593,13,50,-2.38,4.1
26/02/2019,EXPON0000,,4.2,4.1,0.1,4.1,4.2,4.1,4.15,47561,197550,13,50,2.43,4.2
27/02/2019,EXPON0000,,4.2,4.2,0,4.1,4.3,4.1,4.2,87142,365987,19,58.34,0,4.2
28/02/2019,EXPON0000,,4.2,4.2,0,4.3,4.3,4,4,7782964,31144970,15,54.52,0,4.2
01/03/2019,EXPON0000,,4.2,4.2,0,4.3,4.3,4.2,4.21,9155,38512,13,37.48,0,4.2
05/03/2019,EXPON0000,,4.1,4.2,-0.1,4.2,4.3,4.1,4.13,156798,647137,31,37.48,-2.38,4.1
06/03/2019,EXPON0000,,4.1,4.1,0,4.2,4.3,4.1,4.14,227743,942421,23,37.48,0,4.1
07/03/2019,EXPON0000,,4.2,4.1,0.1,4.2,4.3,4.1,4.17,7410,30923,6,44.39,2.43,4.2
08/03/2019,EXPON0000,,4.2,4.2,0,4.1,4.2,4.1,4.1,878502,3602463,32,44.39,0,4.2
11/03/2019,EXPON0000,,4.1,4.2,-0.1,4.1,4.2,4.1,4.11,304201,1251234,19,44.39,-2.38,4.1
12/03/2019,EXPON0000,,4.1,4.1,0,4.1,4.2,4.1,4.1,135691,556355,11,37.48,0,4.1
13/03/2019,EXPON0000,,4.1,4.1,0,4.2,4.2,4.1,4.1,118480,485892,13,42.89,0,4.1
14/03/2019,EXPON0000,,4.1,4.1,0,4,4.1,4,4.09,1105203,4518432,33,50,0,4.1
