,driverID,race,qualipos,racepos
1438,maldonado,3,15,16
1439,massa,3,5,7
1440,perez,3,12,6
1441,pic,3,21,20
1443,resta,3,11,11
1444,ricciardo,3,7,10
1445,rosberg,3,4,5
1446,sutil,3,13,13
1447,vergne,3,16,15
1448,vettel,3,9,1
1449,webber,3,14,2
1450,alonso,4,3,3
1451,bottas,4,15,21
1452,button,4,10,4
1453,chilton,4,22,19
1454,garde,4,21,18
1455,grosjean,4,11,22
1456,gutierrez,4,18,12
1457,hamilton,4,4,9
1458,hulkenberg,4,14,8
1459,jules_bianchi,4,20,17
1460,maldonado,4,17,16
1461,massa,4,6,7
1462,perez,4,12,6
1463,pic,4,19,20
1465,resta,4,7,11
1466,ricciardo,4,13,10
1467,rosberg,4,1,5
1468,sutil,4,8,13
1469,vergne,4,16,15
1470,vettel,4,2,1
1471,webber,4,5,2
1472,alonso,5,5,3
1473,bottas,5,17,21
1474,button,5,14,4
1475,chilton,5,21,19
1476,garde,5,19,18
1477,grosjean,5,7,22
1478,gutierrez,5,16,12
1479,hamilton,5,2,9
1480,hulkenberg,5,15,8
1481,jules_bianchi,5,20,17
1482,maldonado,5,18,16
1483,massa,5,6,7
1484,perez,5,9,6
1485,pic,5,22,20
1487,resta,5,10,11
1488,ricciardo,5,11,10
1489,rosberg,5,1,5
1490,sutil,5,13,13
1491,vergne,5,12,15
1492,vettel,5,3,1
1493,webber,5,8,2
1494,alonso,6,6,3
1495,bottas,6,14,21
1496,button,6,9,4
1497,chilton,6,20,19
1498,garde,6,15,18
1499,grosjean,6,13,22
1500,gutierrez,6,19,12
1501,hamilton,6,2,9
1502,hulkenberg,6,11,8
1503,jules_bianchi,6,21,17
1504,maldonado,6,16,16
1505,massa,6,22,7
1506,perez,6,7,6
1507,pic,6,18,20
1509,resta,6,17,11
1510,ricciardo,6,12,10
1511,rosberg,6,1,5
1512,sutil,6,8,13
1513,vergne,6,10,15
1514,vettel,6,3,1
1515,webber,6,4,2
1516,alonso,7,6,3
1517,bottas,7,3,21
1518,button,7,14,4
1519,chilton,7,21,19
1520,garde,7,22,18
1521,grosjean,7,19,22
1522,gutierrez,7,15,12
1523,hamilton,7,2,9
1524,hulkenberg,7,11,8
1525,jules_bianchi,7,20,17
1526,maldonado,7,13,16
1527,massa,7,16,7
1528,perez,7,12,6
1529,pic,7,18,20
1531,resta,7,17,11
1532,ricciardo,7,10,10
1533,rosberg,7,4,5
1534,sutil,7,8,13
1535,vergne,7,7,15
1536,vettel,7,1,1
1537,webber,7,5,2
1538,alonso,8,10,3
1539,bottas,8,17,21
1540,button,8,11,4
1541,chilton,8,22,19
1542,garde,8,21,18
1543,grosjean,8,8,22
1544,gutierrez,8,18,12
1545,hamilton,8,1,9
1546,hulkenberg,8,15,8
1547,jules_bianchi,8,20,17
1548,maldonado,8,16,16
1549,massa,8,12,7
1550,perez,8,14,6
1551,pic,8,19,20
1553,resta,8,5,11
1554,ricciardo,8,6,10
1555,rosberg,8,2,5
1556,sutil,8,7,13
1557,vergne,8,13,15
1558,vettel,8,3,1
1559,webber,8,4,2
1560,alonso,9,8,3
1561,bottas,9,17,21
1562,button,9,9,4
1563,chilton,9,22,19
1564,garde,9,21,18
1565,grosjean,9,5,22
1566,gutierrez,9,14,12
1567,hamilton,9,1,9
1568,hulkenberg,9,10,8
1569,jules_bianchi,9,20,17
1570,maldonado,9,18,16
1571,massa,9,7,7
1572,perez,9,13,6
1573,pic,9,19,20
1575,resta,9,12,11
1576,ricciardo,9,6,10
1577,rosberg,9,11,5
1578,sutil,9,15,13
1579,vergne,9,16,15
1580,vettel,9,2,1
1581,webber,9,3,2
1582,alonso,10,5,3
1583,bottas,10,16,21
1584,button,10,13,4
1585,chilton,10,22,19
1586,garde,10,20,18
1587,grosjean,10,3,22
1588,gutierrez,10,17,12
1589,hamilton,10,1,9
1590,hulkenberg,10,12,8
1591,jules_bianchi,10,21,17
1592,maldonado,10,15,16
1593,massa,10,7,7
1594,perez,10,9,6
1595,pic,10,19,20
1597,resta,10,18,11
1598,ricciardo,10,8,10
1599,rosberg,10,4,5
1600,sutil,10,11,13
1601,vergne,10,14,15
1602,vettel,10,2,1
1603,webber,10,10,2
1604,alonso,11,9,3
1605,bottas,11,20,21
1606,button,11,6,4
1607,chilton,11,16,19
1608,garde,11,14,18
1609,grosjean,11,7,22
1610,gutierrez,11,21,12
1611,hamilton,11,1,9
1612,hulkenberg,11,11,8
1613,jules_bianchi,11,15,17
1614,maldonado,11,17,16
1615,massa,11,10,7
1616,perez,11,13,6
1617,pic,11,22,20
1619,resta,11,5,11
1620,ricciardo,11,19,10
1621,rosberg,11,4,5
1622,sutil,11,12,13
1623,vergne,11,18,15
1624,vettel,11,2,1
1625,webber,11,3,2
1626,alonso,12,5,3
1627,bottas,12,18,21
1628,button,12,9,4
1629,chilton,12,22,19
1630,garde,12,19,18
1631,grosjean,12,13,22
1632,gutierrez,12,17,12
1633,hamilton,12,12,9
1634,hulkenberg,12,3,8
1635,jules_bianchi,12,21,17
1636,maldonado,12,15,16
1637,massa,12,4,7
1638,perez,12,8,6
1639,pic,12,20,20
1641,resta,12,16,11
1642,ricciardo,12,7,10
1643,rosberg,12,6,5
1644,sutil,12,14,13
1645,vergne,12,10,15
1646,vettel,12,1,1
1647,webber,12,2,2
1648,alonso,13,7,3
1649,bottas,13,16,21
1650,button,13,8,4
1651,chilton,13,22,19
1652,garde,13,20,18
1653,grosjean,13,3,22
1654,gutierrez,13,10,12
1655,hamilton,13,5,9
1656,hulkenberg,13,11,8
1657,jules_bianchi,13,21,17
1658,maldonado,13,18,16
1659,massa,13,6,7
1660,perez,13,14,6
1661,pic,13,19,20
1663,resta,13,17,11
1664,ricciardo,13,9,10
1665,rosberg,13,2,5
1666,sutil,13,15,13
1667,vergne,13,12,15
1668,vettel,13,1,1
1669,webber,13,4,2
1670,alonso,14,6,3
1671,bottas,14,17,21
1672,button,14,12,4
1673,chilton,14,22,19
1674,garde,14,20,18
1675,grosjean,14,4,22
1676,gutierrez,14,9,12
1677,hamilton,14,2,9
1678,hulkenberg,14,8,8
1679,jules_bianchi,14,21,17
1680,maldonado,14,18,16
1681,massa,14,7,7
1682,perez,14,11,6
1683,pic,14,19,20
1685,resta,14,15,11
1686,ricciardo,14,13,10
1687,rosberg,14,5,5
1688,sutil,14,14,13
1689,vergne,14,16,15
1690,vettel,14,1,1
1691,webber,14,3,2
1692,alonso,15,8,3
1693,bottas,15,13,21
1694,button,15,10,4
1695,chilton,15,19,19
1696,garde,15,21,18
1697,grosjean,15,4,22
1698,gutierrez,15,14,12
1699,hamilton,15,3,9
1700,hulkenberg,15,7,8
1701,jules_bianchi,15,22,17
1702,maldonado,15,15,16
1703,massa,15,5,7
1704,perez,15,11,6
1705,pic,15,20,20
1707,resta,15,12,11
1708,ricciardo,15,16,10
1709,rosberg,15,6,5
1710,sutil,15,17,13
1711,vergne,15,18,15
1712,vettel,15,2,1
1713,webber,15,1,2
1714,alonso,16,8,3
1715,bottas,16,15,21
1716,button,16,10,4
1717,chilton,16,22,19
1718,garde,16,20,18
1719,grosjean,16,17,22
1720,gutierrez,16,16,12
1721,hamilton,16,3,9
1722,hulkenberg,16,7,8
1723,jules_bianchi,16,19,17
1724,maldonado,16,18,16
1725,massa,16,5,7
1726,perez,16,9,6
1727,pic,16,21,20
1729,resta,16,12,11
1730,ricciardo,16,11,10
1731,rosberg,16,2,5
1732,sutil,16,13,13
1733,vergne,16,14,15
1734,vettel,16,1,1
1735,webber,16,4,2
1736,alonso,17,11,3
1737,bottas,17,16,21
1738,button,17,13,4
1739,chilton,17,22,19
1740,garde,17,19,18
1741,grosjean,17,7,22
1742,gutierrez,17,17,12
1743,hamilton,17,4,9
1744,hulkenberg,17,6,8
1745,jules_bianchi,17,20,17
1746,maldonado,17,15,16
1747,massa,17,8,7
1748,perez,17,9,6
1749,pic,17,21,20
1751,resta,17,12,11
1752,ricciardo,17,10,10
1753,rosberg,17,3,5
1754,sutil,17,18,13
1755,vergne,17,14,15
1756,vettel,17,2,1
1757,webber,17,1,2
1758,alonso,18,6,3
1759,bottas,18,9,21
1760,button,18,13,4
1761,chilton,18,22,19
1762,garde,18,19,18
1763,grosjean,18,3,22
1764,gutierrez,18,10,12
1765,hamilton,18,5,9
1766,hulkenberg,18,4,8
1767,jules_bianchi,18,20,17
1768,kovalainen,18,8,14
1769,maldonado,18,18,16
1770,massa,18,15,7
1771,perez,18,7,6
1772,pic,18,21,20
1773,resta,18,12,11
1774,ricciardo,18,11,10
1775,rosberg,18,14,5
1776,sutil,18,17,13
1777,vergne,18,16,15
1778,vettel,18,1,1
1779,webber,18,2,2
1780,alonso,19,3,3
1781,bottas,19,13,21
1782,button,19,15,4
1783,chilton,19,22,19
1784,garde,19,20,18
1785,grosjean,19,6,22
1786,gutierrez,19,18,12
1787,hamilton,19,5,9
1788,hulkenberg,19,10,8
1789,jules_bianchi,19,21,17
1790,kovalainen,19,11,14
1791,maldonado,19,17,16
1792,massa,19,9,7
1793,perez,19,14,6
1794,pic,19,19,20
1795,resta,19,12,11
1796,ricciardo,19,7,10
1797,rosberg,19,2,5
1798,sutil,19,16,13
1799,vergne,19,8,15
1800,vettel,19,1,1
1801,webber,19,4,2
1802,alonso,1,5,9
1803,bottas,1,10,3
1804,button,1,11,5
1807,grosjean,1,21,13
1808,gutierrez,1,19,15
1809,hamilton,1,1,1
1810,hulkenberg,1,7,6
1812,kevin_magnussen,1,4,11
1813,kobayashi,1,15,18
1814,kvyat,1,8,20
1815,maldonado,1,22,19
1816,massa,1,9,2
1817,perez,1,16,7
1818,raikkonen,1,12,10
1819,ricciardo,1,2,4
1820,rosberg,1,3,14
1821,sutil,1,14,16
1822,vergne,1,6,12
1823,vettel,1,13,8
1824,alonso,2,4,9
1825,bottas,2,15,3
1826,button,2,10,5
1829,grosjean,2,16,13
1830,gutierrez,2,12,15
1831,hamilton,2,1,1
